# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  141       5.394798964904e-10       1.489063022748e-13      -5.915452766616e-12       8.388782574873e-16       4.011366299121e-12       6.794558760340e-13      -4.557318269084e-15 
  142       5.439864714831e-10       1.488217365447e-13      -5.946662985500e-12       8.516957378194e-16       3.931411655279e-12       6.692126815051e-13      -4.493987406034e-15 
  143       5.484797474020e-10       1.486729140244e-13      -5.975116903596e-12       8.646396605267e-16       3.853555686862e-12       6.591669112136e-13      -4.429731198580e-15 
  144       5.529585293803e-10       1.484602815255e-13      -6.000761373610e-12       8.777103794208e-16       3.777762107642e-12       6.493181265285e-13      -4.364679117694e-15 
  145       5.574215703567e-10       1.481843769030e-13      -6.023544417268e-12       8.909082235675e-16       3.703985153952e-12       6.396649852499e-13      -4.298966039267e-15 
  146       5.618675699605e-10       1.478458307984e-13      -6.043415264187e-12       9.042334966917e-16       3.632169365494e-12       6.302052191011e-13      -4.232732314950e-15 
  147       5.662951733965e-10       1.474453683832e-13      -6.060324390751e-12       9.176864765819e-16       3.562249366138e-12       6.209356112216e-13      -4.166123842990e-15 
  148       5.707029703297e-10       1.469838111014e-13      -6.074223558976e-12       9.312674144955e-16       3.494149644728e-12       6.118519736600e-13      -4.099292139074e-15 
  149       5.750894937703e-10       1.464620784128e-13      -6.085065855387e-12       9.449765345633e-16       3.427784335879e-12       6.029491248664e-13      -4.032394407165e-15 
  150       5.794532189587e-10       1.458811895363e-13      -6.092805729888e-12       9.588140331944e-16       3.363057000786e-12       5.942208671854e-13      -3.965593610345e-15 
  151       5.837925622498e-10       1.452422651924e-13      -6.097399034632e-12       9.727800784809e-16       3.299860408021e-12       5.856599643489e-13      -3.899058541650e-15 
  152       5.881058799988e-10       1.445465293467e-13      -6.098803062895e-12       9.868748096031e-16       3.238076314339e-12       5.772581189685e-13      -3.832963894916e-15 
  153       5.923915898510e-10       1.437952950302e-13      -6.096976819121e-12       1.001098404197e-15       3.177599918708e-12       5.690077888571e-13      -3.767458482188e-15 
  154       5.966485496455e-10       1.429899166495e-13      -6.091881775500e-12       1.015451288758e-15       3.118416243000e-12       5.609078733027e-13      -3.702566413211e-15 
  155       6.008757117639e-10       1.421318365471e-13      -6.083481260144e-12       1.029933946746e-15       3.060530465022e-12       5.529585148080e-13      -3.638276824157e-15 
  156       6.050720034018e-10       1.412226021738e-13      -6.071740271949e-12       1.044546852137e-15       3.003943790515e-12       5.451592947248e-13      -3.574574815002e-15 
  157       6.092363260766e-10       1.402638677509e-13      -6.056625520641e-12       1.059290469169e-15       2.948653359619e-12       5.375092201120e-13      -3.511441358140e-15 
  158       6.133675551364e-10       1.392573959316e-13      -6.038105466827e-12       1.074165252099e-15       2.894652153332e-12       5.300067105935e-13      -3.448853206992e-15 
  159       6.174645392680e-10       1.382050594635e-13      -6.016150362045e-12       1.089171644947e-15       2.841928899976e-12       5.226495852159e-13      -3.386782804619e-15 
  160       6.215261000049e-10       1.371088428503e-13      -5.990732288810e-12       1.104310081251e-15       2.790467981655e-12       5.154350493063e-13      -3.325198192335e-15 
  161       6.255510312362e-10       1.359708440140e-13      -5.961825200664e-12       1.119580983820e-15       2.740249340719e-12       5.083596813300e-13      -3.264062918316e-15 
